Id,Clothing Type,Sex,Color,Brand,Price,Images,Miscellaneous
1,Badeanzug,Weiblich,Schwarz,Je suis,104.95,"[http://image01.otto.de/pool/albamoda_formatI/8055519.jpg,http://image01.otto.de/pool/albamoda_formatI/8362645.jpg]","Je Suis Badeanzug weiß Gr. 46Badeanzug von JE SUIS, klassisch in schwarz-weiß mit stilisierten Schmetterlingen, schwarze, breite Träger, Verdeckte Bügelverarbeitung, Hoher, runder Rückenausschnitt, Vollgefüttert, 72% Polyamid 28% Elastan: SENSITIVE, schnell trocknend, waschbar."
2,Badeanzug,Weiblich,Schwarz,Glumann,109,[http://www.bader.de/medias/sys_master/celum_assets/2013FK1_0362021FL_ple1_local_l_local_l.jpg?136],"BadeanzugHochwertiger, schwarzer Badeanzug von ""Glumann"", mit buntem, platziertem Druckdessin im Vorder- und Rückteil, überschnittener, uni Dekolletéblende vorne, uni Ausschnittblende hinten, seitlicher Raffung am Büstenteil, Label, eingearbeiteten Büstenschalen, Unterbrustband sowie Halbkorsage.;Qualität: 80% Polyamid und 20% LYCRA® Elastan;Nach Öko-Tex Standard 100 (09.0.65819 Hohenstein)"
3,Badeanzug,Weiblich,Blau,Je suis,119.95,"[http://image01.otto.de/pool/albamoda_formatI/8050214.jpg,http://image01.otto.de/pool/albamoda_formatI/8282128.jpg]","Je Suis Badeanzug blau Gr. 44Badeanzug von JE SUIS, attraktiv in Jeansoptik mit dekorativen Rüschen und Zierknöpfen, verdeckte Bügelverarbeitung, hoher, gerader Rückenausschnitt, schmale, verstellbare Träger, die hinten überkreuz getragen werden, Vorderfutter. Matte SENSITIVE-Ware, hohe Formbeständigkeit, Schutz vor UV-Strahlen, hohe Luftdurchlässigkeit aber keinen Sand, kein Pilling, hoher Tragekomfort, schnell trocknend. 72% Polyamid, 28% Elastan, waschbar"
4,Badeanzug,Weiblich,Schwarz,Heine,134.95,"[http://image01.heine.de/pool/format_hv_ea_1/4395877.jpg,http://image01.heine.de/pool/format_hv_ea_1/6339412.jpg]","HEINE: Damen Bandeau-BadeanzugBandeau-Badeanzug von JE SUIS präsentiert von ALBA MODA, attraktive Drapierung in Schwarz-Weiß-Kombination, hoher, gerader Rücken, abnehmbare Träger, Soft-Cups. Sensitive-Ware aus 72% Polyamid, 28% Elastan, waschbar."
5,Badeanzug,Weiblich,Braun,Alba Moda,139.95,"[http://images.otto.de/asset/mmo/Preset_PSM/4758806.jpg,http://images.otto.de/asset/mmo/Preset_PSM/6328167.jpg]","Badeanzug, braunBadeanzug von ALBA MODA in harmonischer Farbgebung mit verstellbaren Trägern. 3 Tragevarianten: Träger als Neckholder, hinten zum Überkreuzen, klassisch gerade. Softcups, hoher, runder Rückenausschnitt, Vorderfutter, 80% Polyamid 20% Elastan: leicht glänzend, Formstabil, trocknet schnell, Futter: 100% Polyamid, waschbar"
6,Badeanzug,Weiblich,Violett,Diane von Furstenberg,140,[http://www.beachfashionshop.com/assets/images/product_images/popup_images/814fabb43d2a1861a942237f6955b8857356df86.jpg],"Wickel-Badeanzug im Leo-PrintBadeanzug mit modernem Leoprint in Lila und Dunkelbraun und stilvoller Wickel-Optik. Der Badeanzug wird vorne seitlich gebunden, wodurch elegante Raffungen entstehen. Er hat schmale Träger, einen tiefen V-Ausschnitt am Dekolleté und am Rücken. Die Höschenpartie des Badeanzugs hat einen mittelhohen Beinausschnitt und kaschiert schön an den Hüften."
7,Badeanzug,Weiblich,Rot,Suprima,145.74,[http://www.mercateo.com/images/products/Yes-Sportswear/gr_1519023-kl-1.jpg#suprima-suprima-badeanzug-modisch-bordeaux-groesse-36-44],"Suprima Badeanzug, modisch, bordeaux, Größe 36-44Badeanzug modisch Material: Badeanzug: 80% Polyamid, 20% Elasthan Innenslip: 100% Polyester, Polyurethan beschichtet Eigenschaften: - eingearbeiteter Sicherheitsslip - Rockteil kaschiert Innenslip - eingearbeitete Büstenkörbchen - praktischer Verschluss im Rückenteil - Farbe: bordeaux"
8,Badeanzug,Weiblich,Blau,Gottex,169.99,"[http://www.breuninger.com/medias/sys_master/pod/2013/01/9107932086302.jpg,http://www.breuninger.com/medias/sys_master/zoom/2013/01/9107931987998.jpg]","gottex Badeanzug blauEin raffinierter Begleiter für Ihren nächsten Badeurlaub: Der elegante Bandeau-Badeanzug von gottex, mit angenähtem Oberteil in verführerischer Netzoptik. Damit läuft es sich bei Ihrem Strandspaziergang wie auf einem Catwalk!Bandeau-Oberteil mit wattierten Cups Abnehmbarer Träger Integriertes, schlauchförmiges Oberteil mit Raffungen an den Seiten und am Rücken"
9,Badeanzug,Weiblich,Orange,Gottex,169.99,"[http://www.breuninger.com/medias/sys_master/pod/2013/01/9107952861214.jpg,http://www.breuninger.com/medias/sys_master/zoom/2013/01/9107952762910.jpg]","gottex Badeanzug RAINBOW orangeSchillernd wie ein Regenbogen zeigt sich der traumhaft schöne Badeanzug RAINBOW von gottex. Der Einteiler passt sich der weiblichen Silhouette an, formt und bringt Ihre weiblichen Vorzüge optimal zur Geltung. Ab an den Strand!Taillierte Passform Wattiertes Oberteil mit gepolsterten Cups Front in Lagenoptik und mit Raffungen Tiefer Rückenausschnitt"
10,Badeanzug,Weiblich,Schwarz,Lisca,59.95,[http://www.golop.de/shop/images/images_big/pimage_67313766.jpg],"LISCA: exclusiver BadeanzugExklusiver und edler Badeanzug "",HARLESTON"", in Schwarz Edler schwarzer Badeanzug von LISCA in einem traumhaften Figurunterstreichenden Schnitt. Der hochwertig verarbeitete Badeanzug punktet mit einem TOP Schnitt, der durch doppeltes Frontfutter eine zauberhafte Figur modelliert. Gemoldete Schaumstoffcups und Bügel betonen den Busen und lassen nichts durchschimmern. Unter dem BH Teil ist ein Ausschnitt mit Zierband und goldenem Mettallzierpatt eingearbeitet, der den absoluten Hingucker dieses Badeanzuges ausmacht. Im Rücken ist mit einem leichten Gummizug und zusätzlichen Tragebändern und Zierbändern in Leopardenoptik ausgerüstet. Hinreißend weiblich die trendige Bandeau-Variante. Mit hohem Beinausschnitt und abnehmbaren und verstellbaren Trägern. Alle Träger sowie Abpasspelungen sind in Material in Leoparden Optik gefertigt. Natürlich auch mit Wäscheschutz, sowie einem dezenten LISCA Label aus Metall. LISCA Dessous, hochwertige Unterwäsche für die anspruchsvolle und modische Dame. LISCA Dessous, Damen Unterwäsche edel oder natürlich elegant, aus edlen Materialien, mit wertvoller Spitze und Stickereien. LISCA Dessous, BH´s, Bodys, Strings, Pants, Slips, Bademode auch in großen Gr�ßen. Material: 80% Polyamid, 20% Elasthan Farbe: Schwarz"
